2016/12/20 18:12:47	1 tire, 2 oil, 3 plug, 198.94
2016/12/20 18:12:55	1 tire, 2 oil, 3 plug, 198.94
2016/12/20 18:27:47	1 tire, 2 oil, 3 plug, 198.94
2016/12/20 18:28:04	4 tire, 4 oil, 4 plug, 527.88
2016/12/20 18:38:13	4 tire, 17 oil, 2 plug, 698.77
2016/12/21 00:06:55	 tire,  oil,  plug, 0
2016/12/21 00:35:15	0
2016/12/21 00:38:37	0
2016/12/21 00:39:23	 1,  2,  3,  4, 0
2016/12/21 00:39:27	 1,  2,  3,  4, 0
2016/12/21 00:39:50	 1,  2,  3,  4, 0
2016/12/21 00:40:02	 1,  2,  3,  4, 0
2016/12/21 00:43:19	 1,  2,  3,  4, 0
2016/12/21 00:43:25	 1,  2,  3,  4, 0
2016/12/21 00:43:44	 1,  2,  3,  4, 0
2016/12/21 00:44:22	 1,  2,  3,  4, 0
2016/12/21 00:44:27	 1,  2,  3,  4, 0
2016/12/21 00:49:31	 1,  2,  3,  4, 0
2016/12/21 00:50:06	 1,  2,  3,  4, 0
2016/12/21 00:50:07	 1,  2,  3,  4, 0
2016/12/21 00:50:21	 1,  2,  3,  4, 0
2016/12/21 00:50:22	 1,  2,  3,  4, 0
2016/12/21 00:50:31	 1,  2,  3,  4, 0
2016/12/21 00:51:22	 1,  2,  3,  4, 0
2016/12/21 00:51:38	 1,  2,  3,  4, 0
2016/12/21 00:51:51	99 1, 99 2, 99 3, 99 4, 30092.04
2016/12/21 00:52:38	 1,  2,  3,  4, 0
2016/12/21 00:52:50	 1,  2,  3,  4, 0
2016/12/21 00:52:55	 1,  2,  3,  4, 0
2016/12/21 00:55:10	8 1, 7 2, 4 3, 5 4, 1777.76
2016/12/21 20:10:00	3 1, 3 2, 2 3, 1 4, 511.91
2016/12/21 21:09:04	5 1, 6 2, 5 3, 34 4, 6 5, 618.44
2016/12/21 21:10:47	7 1, 7 2, 7 3, 7 4, 7 5, 391.65
2016/12/21 21:11:16	7 1, 7 2, 7 3, 7 4, 7 5, 391.65
2016/12/21 21:11:29	7 1, 7 2, 7 3, 7 4, 7 5, 391.65
2016/12/21 21:12:54	7 1, 7 2, 7 3, 7 4, 7 5, 391.65
2016/12/21 21:13:16	7 1, 7 2, 7 3, 7 4, 7 5, 391.65
2016/12/21 21:13:34	7 1, 6 2, 5 3, 6 4, 5 5, 329.71
2016/12/21 21:13:51	7 1, 6 2, 5 3, 6 4, 5 5, 329.71
2016/12/21 21:13:58	7 1, 8 2, 7 3, 7 4, 8 5, 411.63
2016/12/21 21:16:12	87 1, 87 2, 87 3, 87 4, 87 5, 4867.65
2016/12/21 21:16:40	87 1, 87 2, 87 3, 87 4, 87 5, 4867.65
2016/12/21 21:17:02	1 1, 1 2, 1 3, 1 4, 1 5, 55.95
2016/12/21 22:12:32	7 1, 7 3, 7 4, 251.79
2016/12/21 22:47:52	8 1, 8 2, 8 3, 8 4, 8 5, 447.6
2016/12/21 22:48:07	8 1, 8 2, 8 3, 8 4, 8 5, 447.6
2016/12/21 23:02:38	6 1, 7 2, 8 3, 9 4, 7 5, 412.63
